question,answer,category
What is the policy for participating in CSR and community activities?,NovaTech grants 2 days of paid volunteer leave annually for employees participating in company-sponsored CSR activities.,Benefits
Can I change my registered emergency contact details?,Update emergency contacts anytime in the ESS portal under My Profile -> Personal Information.,Onboarding
How are employee achievements recognized across the organization?,Outstanding achievements are featured in the monthly company newsletter and celebrated during quarterly town hall meetings.,Benefits
What is the policy regarding company property damage or loss?,Inadvertent damage to company property must be reported to IT/Facilities immediately. Malicious damage may incur repair costs and disciplinary action.,Code of Conduct
How can I request an updated ID card or smart card?,Submit an ID Card Reissuance form on the HR Portal. First-time replacements for damaged cards are free; lost cards incur a nominal fee.,Office Facilities
Does NovaTech support higher education or professional memberships?,NovaTech reimburses 50% of annual membership fees for approved professional industry associations like IEEE or ACM.,Certifications
What is the policy on smoking and alcohol on office premises?,NovaTech office buildings and grounds are strictly smoke-free and alcohol-free zones. Violations result in immediate disciplinary action.,Code of Conduct
How are project allocation changes handled?,"Project allocations are managed by Resource Management (RMG) based on project demand, skill matrix, and career aspirations.",Career Development
Where can I find the company organizational structure and leadership contacts?,The interactive organizational chart and executive contacts are published on the NovaTech Intranet home page.,Company Policies
What support is provided for employees returning from maternity leave?,"Returning mothers receive flexible working arrangements, reduced travel requirements, and access to on-site wellness rooms.",Maternity Leave
How do I access NovaTech's online library and research journals?,"Log into the Learning Portal to access digital subscriptions to IEEE Xplore, ACM Digital Library, and Safari Books Online.",Training & Learning
What is the policy for attending external conferences and tech summits?,Employees speaking at or attending approved industry conferences can claim registration fees and travel expenses via HR learning funds.,Training & Learning
How does NovaTech celebrate cultural events and team outings?,NovaTech allocates a quarterly team-building budget per employee and organizes annual family day celebrations.,Benefits
Can I refer a candidate for an internship position?,"Yes, student referrals for summer and winter internships can be submitted through the University Relations portal.",Recruitment
What is the protocol for severe weather emergencies or city bandhs?,"In severe weather or emergency situations, HR issues official advisory notifications regarding office closure or mandatory WFH.",Company Policies
How do I update my marital status or nominee details for insurance?,"Upload relevant legal certificates (marriage certificate, etc.) under ESS Profile -> Family Details to update nominee records.",Insurance
What is the company policy on open source contributions?,Employees contributing to open source projects using company time or IP must obtain prior clearance from the Technical Steering Committee.,Code of Conduct
Who is eligible for the annual health checkup package?,All full-time employees who have completed probation are eligible for a free annual comprehensive health checkup at partner diagnostics.,Health & Wellness
What is the process for submitting an innovative idea or patent application?,Submit technical proposals to NovaTech Innovation Labs. Approved patents receive legal filing support and a cash incentive award.,Career Development
How do I report a security incident or suspected phishing email?,Forward suspicious emails to security@novatech.com immediately or click the 'Report Phishing' button in Outlook.,IT Support
What is the policy regarding personal phone usage during work hours?,Personal calls should be kept to a minimum during core hours and conducted away from active work areas to prevent disruption.,Code of Conduct
Are there designated quiet zones or focus rooms in the office?,"Yes, each floor features quiet focus pods for solitary high-concentration tasks and phone booths for private calls.",Office Facilities
What support is available for employees undergoing medical emergencies?,"NovaTech provides emergency salary advances, expedited insurance approval, and dedicated HR support during acute medical crises.",Health & Wellness
